race,age,priors_count,juv_fel_count,c_charge_degree,loan_approved
African-American,33,7,0,1,0
African-American,27,2,0,1,0
African-American,20,0,0,1,1
Caucasian,26,0,0,0,1
African-American,61,1,0,1,0
African-American,32,4,0,1,0
African-American,26,2,0,0,0
African-American,55,3,0,0,1
Caucasian,39,1,1,0,1
Caucasian,30,3,0,1,0
African-American,30,1,0,1,1
Caucasian,48,2,0,0,1
African-American,22,1,0,1,1
Caucasian,46,6,0,1,0
Caucasian,49,6,0,1,1
Caucasian,31,0,0,1,1
African-American,25,1,0,0,0
African-American,32,5,0,1,1
African-American,62,8,0,1,1
Caucasian,37,6,0,1,1
Caucasian,55,1,0,1,1
African-American,28,6,0,0,0
Caucasian,78,1,0,0,0
Caucasian,56,0,0,1,1
African-American,38,22,2,1,0
African-American,22,1,0,1,0
African-American,47,23,0,0,0
African-American,23,0,0,0,0
Caucasian,38,2,0,1,0
African-American,66,3,0,1,1
Caucasian,45,8,0,0,0
African-American,32,13,0,1,0
African-American,37,2,0,0,0
Caucasian,39,0,0,1,0
African-American,26,9,0,1,0
Caucasian,45,2,0,1,1
African-American,23,0,0,1,0
African-American,34,2,0,0,1
African-American,23,1,0,0,1
Caucasian,50,1,0,1,1
Caucasian,37,0,0,0,1
Caucasian,44,4,0,0,1
African-American,35,23,0,1,0
African-American,26,2,0,1,0
African-American,27,0,0,0,1
African-American,28,0,0,1,1
Caucasian,43,11,0,1,0
Caucasian,28,7,0,1,0
African-American,38,2,0,1,1
Caucasian,27,2,0,0,1
African-American,28,1,0,1,1
Caucasian,56,7,0,1,0
African-American,38,15,0,1,1
African-American,28,2,0,0,1
African-American,45,3,0,1,1
Caucasian,61,1,0,1,1
Caucasian,51,0,0,0,0
Caucasian,51,0,0,0,1
African-American,48,0,0,1,1
Caucasian,37,4,0,1,0
African-American,30,2,0,1,1
African-American,41,5,0,0,1
African-American,27,11,0,1,0
African-American,37,0,0,0,1
African-American,54,11,0,1,1
African-American,23,2,0,1,1
African-American,26,2,0,1,0
African-American,41,0,0,0,1
Caucasian,52,0,0,1,1
Caucasian,43,13,0,1,0
African-American,52,0,0,1,1
Caucasian,28,1,0,1,1
African-American,30,11,0,0,0
Caucasian,28,1,0,1,1
African-American,22,0,0,1,1
African-American,30,4,0,1,1
Caucasian,31,0,0,1,0
Caucasian,37,0,0,1,0
African-American,32,14,0,1,1
African-American,26,4,0,0,1
Caucasian,53,1,0,0,1
African-American,28,25,0,1,0
Caucasian,44,8,0,0,0
African-American,25,0,0,1,1
Caucasian,22,1,0,0,0
Caucasian,36,8,0,1,0
Caucasian,30,4,0,1,1
African-American,22,3,0,0,0
Caucasian,24,1,0,0,0
African-American,27,3,0,0,0
Caucasian,23,5,0,1,0
African-American,29,1,0,0,1
African-American,20,1,0,1,0
African-American,30,2,0,1,0
African-American,27,4,0,1,1
Caucasian,31,2,0,0,1
African-American,37,2,0,1,1
African-American,20,0,0,1,1
African-American,52,0,0,1,1
African-American,23,0,0,1,0
African-American,48,0,0,1,1
African-American,66,8,0,1,0
Caucasian,25,0,0,1,1
Caucasian,27,0,0,1,0
African-American,30,11,0,1,0
African-American,22,3,0,0,0
Caucasian,22,1,0,1,1
African-American,35,2,0,1,1
Caucasian,32,2,0,1,1
African-American,41,2,0,0,1
African-American,44,24,0,0,1
African-American,52,3,0,1,0
African-American,43,0,0,1,1
Caucasian,37,3,0,1,1
African-American,28,3,0,0,0
Caucasian,70,1,0,0,1
Caucasian,54,6,0,1,0
Caucasian,46,3,0,1,1
African-American,21,0,0,0,0
African-American,26,1,0,0,0
Caucasian,34,5,0,0,1
African-American,19,1,0,1,0
African-American,34,5,0,0,1
Caucasian,23,0,0,1,0
African-American,34,5,0,1,0
African-American,30,2,0,1,1
African-American,39,6,0,1,0
Caucasian,33,1,0,0,0
Caucasian,58,2,0,1,1
African-American,21,0,0,0,1
African-American,21,1,0,1,1
African-American,23,4,0,0,0
Caucasian,62,0,0,1,1
African-American,27,4,1,0,0
Caucasian,37,5,0,1,1
African-American,32,5,0,1,1
African-American,27,0,0,0,1
Caucasian,44,0,0,0,0
Caucasian,28,3,0,0,0
Caucasian,42,0,0,1,1
African-American,27,0,0,1,1
African-American,20,0,0,1,0
Caucasian,51,0,0,0,1
Caucasian,56,0,0,0,1
African-American,29,7,0,1,1
African-American,20,0,0,1,0
Caucasian,53,6,0,1,1
Caucasian,27,8,0,1,1
African-American,24,2,0,1,0
Caucasian,53,36,0,1,0
Caucasian,28,2,0,0,0
African-American,45,1,0,1,1
African-American,36,0,0,1,1
Caucasian,25,2,0,0,0
Caucasian,28,1,0,1,1
African-American,21,0,0,1,0
Caucasian,36,0,0,0,1
African-American,24,0,0,1,1
African-American,28,3,0,1,0
African-American,29,0,0,1,1
Caucasian,30,0,0,0,1
African-American,25,2,0,1,1
African-American,32,12,0,1,0
African-American,23,1,0,1,1
African-American,47,3,0,1,1
Caucasian,37,0,0,1,1
African-American,19,2,0,1,0
Caucasian,21,0,0,1,1
Caucasian,69,0,0,0,1
Caucasian,21,2,0,1,1
African-American,26,6,0,0,0
Caucasian,22,0,0,1,1
African-American,23,0,0,1,0
African-American,49,3,0,1,1
African-American,29,2,0,0,1
Caucasian,60,0,0,0,1
African-American,26,0,0,0,1
African-American,23,3,2,1,0
Caucasian,30,0,0,1,1
African-American,21,1,0,1,1
Caucasian,22,2,0,0,0
African-American,57,18,0,1,1
African-American,21,4,0,1,0
African-American,21,0,0,1,0
Caucasian,34,1,0,0,1
Caucasian,50,1,0,0,0
Caucasian,40,0,0,1,0
African-American,25,7,0,1,0
Caucasian,53,1,0,0,1
African-American,24,0,0,1,1
African-American,42,1,0,1,1
African-American,28,1,0,0,1
Caucasian,24,1,0,0,1
African-American,26,6,1,1,0
African-American,22,4,0,1,0
Caucasian,21,3,0,0,1
African-American,37,23,0,1,0
African-American,35,2,0,1,1
African-American,53,2,0,1,1
African-American,60,1,0,1,1
African-American,29,7,0,1,1
Caucasian,48,23,1,1,0
Caucasian,52,0,0,0,1
African-American,27,12,0,1,0
African-American,28,5,0,1,1
Caucasian,33,3,0,0,1
Caucasian,47,5,0,1,0
African-American,36,14,0,1,0
African-American,29,2,1,1,1
African-American,22,0,0,0,0
African-American,26,6,0,1,1
Caucasian,25,0,0,1,1
Caucasian,68,2,0,1,1
African-American,56,5,0,1,1
African-American,27,9,0,1,0
Caucasian,52,4,0,1,0
African-American,32,3,0,1,1
Caucasian,39,0,0,0,1
Caucasian,56,0,0,0,1
African-American,22,0,0,1,1
African-American,27,1,0,1,0
African-American,53,11,0,1,1
Caucasian,25,0,0,0,0
Caucasian,22,0,0,1,1
Caucasian,58,2,0,0,1
African-American,31,7,0,0,0
Caucasian,22,1,0,1,0
African-American,28,8,0,1,0
African-American,20,0,0,1,0
Caucasian,29,0,0,0,0
African-American,29,8,0,1,1
African-American,58,21,0,0,0
African-American,22,3,0,1,1
Caucasian,37,0,0,1,1
African-American,57,1,0,1,0
Caucasian,27,3,0,0,1
African-American,26,3,0,1,1
Caucasian,24,3,0,1,0
Caucasian,33,0,0,1,1
African-American,29,2,0,1,1
African-American,24,3,0,1,0
Caucasian,19,1,0,1,0
Caucasian,36,2,0,0,1
Caucasian,24,0,0,1,1
Caucasian,34,0,0,0,1
African-American,20,1,1,1,0
African-American,24,1,0,0,0
Caucasian,61,4,0,1,1
African-American,50,3,0,1,1
African-American,30,1,0,0,1
African-American,38,5,0,1,1
Caucasian,24,0,0,0,1
African-American,45,16,0,1,1
African-American,46,2,0,1,0
Caucasian,41,0,0,0,0
African-American,27,13,0,0,0
African-American,51,16,0,1,1
African-American,26,1,0,0,0
African-American,29,3,0,1,0
Caucasian,52,6,0,1,0
Caucasian,28,1,0,1,0
African-American,55,5,0,1,0
African-American,26,10,1,1,0
African-American,28,5,0,1,1
Caucasian,63,2,0,1,1
African-American,42,0,0,1,1
African-American,23,6,1,1,1
African-American,54,28,0,1,0
African-American,35,8,0,1,0
African-American,24,6,1,1,0
African-American,54,2,0,0,1
African-American,58,12,0,0,0
Caucasian,23,1,0,0,0
African-American,35,1,0,0,1
African-American,20,1,0,1,0
Caucasian,51,0,0,1,1
Caucasian,37,3,0,1,1
Caucasian,47,3,0,1,1
Caucasian,34,4,0,1,0
Caucasian,56,0,0,1,1
Caucasian,59,1,0,1,0
Caucasian,24,6,0,1,0
Caucasian,21,2,0,0,0
African-American,26,2,0,0,1
African-American,26,1,0,1,1
Caucasian,30,0,0,0,1
Caucasian,29,6,0,1,0
Caucasian,29,0,0,0,0
African-American,54,0,0,0,1
African-American,29,4,0,1,0
Caucasian,59,0,0,0,1
African-American,38,0,0,1,1
African-American,29,4,0,1,0
Caucasian,27,1,0,0,0
African-American,66,33,0,1,0
Caucasian,27,2,0,1,1
Caucasian,51,1,0,0,1
Caucasian,35,1,0,1,1
African-American,26,1,0,1,1
Caucasian,52,4,0,0,1
African-American,35,12,0,0,1
African-American,26,0,0,0,1
Caucasian,48,0,0,0,1
African-American,33,2,0,0,1
African-American,34,6,0,1,1
African-American,59,10,0,1,0
African-American,29,5,0,1,0
Caucasian,24,0,0,1,1
Caucasian,48,1,0,1,0
African-American,55,0,0,0,0
African-American,52,4,0,0,1
African-American,20,0,0,1,0
Caucasian,25,4,0,1,0
Caucasian,24,0,0,1,1
Caucasian,23,0,0,0,1
Caucasian,27,6,0,1,1
African-American,25,1,0,0,0
African-American,31,0,0,1,1
African-American,25,6,0,1,0
Caucasian,32,1,0,1,0
Caucasian,21,0,0,1,0
Caucasian,25,0,0,1,1
African-American,35,0,0,1,1
African-American,42,14,0,1,0
Caucasian,24,9,0,0,0
Caucasian,22,6,1,1,0
Caucasian,47,1,0,0,1
African-American,27,5,0,1,0
Caucasian,46,2,0,1,0
African-American,44,1,0,0,1
African-American,27,0,0,1,1
Caucasian,23,2,0,1,1
African-American,42,8,0,1,1
African-American,58,6,0,1,1
African-American,26,3,0,1,1
African-American,39,3,0,1,0
African-American,21,3,0,1,0
Caucasian,63,1,0,0,1
African-American,22,3,0,1,0
African-American,50,3,0,0,1
African-American,38,0,0,1,1
Caucasian,41,1,0,1,1
African-American,28,16,8,1,0
African-American,30,0,0,0,1
African-American,23,1,0,1,1
Caucasian,25,2,0,1,0
Caucasian,40,5,0,1,1
African-American,27,5,0,0,0
Caucasian,44,11,0,0,1
African-American,35,6,0,1,0
Caucasian,42,0,0,0,1
African-American,38,15,0,1,1
African-American,25,0,0,0,1
Caucasian,24,1,0,1,1
Caucasian,49,2,0,0,0
Caucasian,50,5,0,1,0
Caucasian,28,8,0,1,0
Caucasian,66,0,0,0,0
Caucasian,46,0,0,0,1
African-American,30,5,0,1,0
Caucasian,22,0,0,0,1
Caucasian,23,1,0,0,1
African-American,24,10,1,1,0
African-American,21,4,4,1,0
African-American,28,4,0,1,1
African-American,25,0,0,0,1
Caucasian,21,0,0,1,1
African-American,27,0,0,0,1
Caucasian,24,0,0,1,1
African-American,20,1,1,1,1
African-American,31,3,0,0,0
African-American,27,3,0,0,0
African-American,59,17,0,1,0
African-American,40,0,0,1,1
African-American,22,11,0,1,0
African-American,38,1,0,1,1
African-American,30,1,0,0,1
Caucasian,27,6,0,1,0
African-American,43,1,0,0,1
Caucasian,59,0,0,0,1
Caucasian,37,2,0,0,1
African-American,28,5,0,0,0
Caucasian,38,0,0,1,1
African-American,22,0,0,1,0
African-American,25,4,0,1,0
Caucasian,51,0,0,0,1
Caucasian,29,2,0,0,0
African-American,28,10,0,1,1
African-American,26,6,0,0,1
African-American,55,9,0,0,0
Caucasian,23,3,0,1,1
African-American,22,0,0,0,1
Caucasian,19,2,0,1,0
African-American,31,1,0,0,1
African-American,29,0,0,0,1
African-American,61,15,0,1,0
African-American,24,4,0,1,0
African-American,20,4,0,1,0
Caucasian,26,3,0,1,0
Caucasian,27,5,0,0,1
Caucasian,25,1,0,1,1
Caucasian,23,3,0,1,0
African-American,38,0,0,1,1
African-American,27,18,0,1,0
Caucasian,35,0,0,1,0
African-American,58,4,0,1,0
Caucasian,57,0,0,0,0
African-American,21,0,0,1,1
African-American,22,0,0,1,1
African-American,30,0,0,1,1
Caucasian,24,1,0,1,0
Caucasian,22,2,0,1,0
Caucasian,29,3,0,1,0
African-American,30,8,0,1,0
African-American,31,10,0,1,1
Caucasian,45,1,0,1,1
African-American,23,4,0,1,1
Caucasian,39,2,0,1,0
African-American,31,0,0,1,0
African-American,22,1,0,1,0
African-American,27,9,0,1,0
African-American,27,13,0,1,0
Caucasian,38,1,0,1,0
African-American,31,23,0,1,0
African-American,47,20,0,1,1
African-American,22,3,0,1,1
African-American,35,1,0,0,0
African-American,65,2,0,0,0
African-American,35,0,0,0,1
African-American,33,0,0,1,1
Caucasian,53,1,0,0,1
African-American,21,0,0,1,1
African-American,37,11,0,1,1
Caucasian,33,5,0,1,1
African-American,31,2,0,0,1
African-American,31,0,0,0,1
Caucasian,59,2,0,1,1
African-American,27,0,0,0,1
African-American,36,0,0,0,0
African-American,46,17,0,1,0
African-American,22,3,0,1,1
Caucasian,28,0,0,0,1
Caucasian,34,15,0,1,0
African-American,23,2,0,0,0
African-American,27,3,0,1,1
Caucasian,48,3,0,1,0
African-American,30,15,0,1,0
African-American,32,2,0,1,1
African-American,31,5,0,1,1
African-American,36,4,0,0,1
African-American,36,1,0,0,1
African-American,44,14,0,1,0
Caucasian,53,2,0,1,1
African-American,33,3,0,0,0
African-American,21,2,1,1,1
African-American,33,4,0,1,0
Caucasian,47,2,0,1,0
African-American,57,20,0,1,0
African-American,28,2,0,0,1
African-American,24,1,0,0,1
African-American,44,1,0,1,1
African-American,46,0,0,1,1
African-American,37,6,0,1,1
African-American,26,10,0,0,0
African-American,27,10,0,1,0
Caucasian,40,1,0,1,1
Caucasian,60,9,0,1,0
Caucasian,53,1,0,1,1
African-American,26,8,0,1,1
African-American,28,0,0,1,1
Caucasian,46,2,0,1,1
African-American,23,0,0,1,0
African-American,37,5,0,1,0
African-American,44,1,0,0,1
African-American,50,18,0,1,0
African-American,45,0,0,0,1
African-American,22,1,0,1,1
Caucasian,26,1,0,1,0
Caucasian,62,0,0,1,1
Caucasian,34,0,0,0,0
Caucasian,21,0,0,0,1
Caucasian,25,0,0,1,0
Caucasian,68,0,0,0,1
Caucasian,41,2,0,0,1
Caucasian,21,1,0,1,1
African-American,22,0,0,1,1
Caucasian,38,11,0,1,0
Caucasian,42,1,0,1,1
Caucasian,22,1,0,1,0
African-American,45,0,0,1,0
African-American,36,4,0,1,0
African-American,48,2,0,1,1
Caucasian,45,1,0,1,1
African-American,23,6,0,1,0
African-American,24,0,0,1,1
African-American,29,0,0,1,1
African-American,24,0,0,1,1
African-American,50,11,0,1,1
African-American,34,10,0,1,0
African-American,23,0,0,1,1
Caucasian,22,0,0,0,1
Caucasian,30,22,0,1,0
African-American,21,0,0,1,0
Caucasian,53,0,0,1,1
Caucasian,24,1,0,1,1
African-American,25,7,0,0,0
African-American,25,1,0,0,1
African-American,71,8,0,1,1
African-American,39,10,0,0,1
African-American,37,0,0,1,1
African-American,20,0,0,1,0
African-American,29,3,0,1,1
African-American,22,2,0,1,0
African-American,26,4,0,1,0
African-American,47,19,0,1,0
Caucasian,20,1,0,1,0
African-American,23,0,0,1,1
Caucasian,55,18,0,1,0
African-American,53,0,0,1,1
African-American,23,0,0,1,1
African-American,26,5,0,1,0
African-American,25,6,0,1,1
African-American,27,4,0,1,0
African-American,26,2,0,0,1
African-American,29,1,0,0,1
African-American,31,0,0,0,1
African-American,41,8,0,1,0
Caucasian,25,0,0,0,1
Caucasian,47,0,0,0,1
African-American,37,4,0,1,1
African-American,35,4,0,1,1
Caucasian,24,1,0,0,0
Caucasian,21,2,0,1,0
Caucasian,22,0,0,1,0
African-American,57,11,0,1,1
Caucasian,48,0,0,1,1
African-American,37,3,0,1,1
Caucasian,31,0,0,0,1
African-American,22,1,0,1,0
Caucasian,31,2,0,0,1
African-American,24,0,0,1,0
African-American,32,22,0,1,0
African-American,63,0,0,0,1
Caucasian,26,2,0,1,0
Caucasian,48,2,0,0,1
Caucasian,20,0,0,1,1
African-American,24,1,0,0,0
African-American,36,1,0,0,1
Caucasian,28,2,0,1,1
African-American,36,3,0,1,0
African-American,33,0,0,0,1
African-American,39,0,0,1,1
African-American,30,17,0,1,0
Caucasian,19,1,1,0,0
African-American,24,1,0,1,0
Caucasian,29,1,0,1,1
African-American,35,7,0,1,1
African-American,24,0,0,1,1
Caucasian,26,0,0,0,1
Caucasian,26,8,0,1,1
African-American,52,7,0,0,1
African-American,28,14,0,1,0
African-American,32,0,0,0,1
Caucasian,32,1,0,0,0
African-American,33,5,0,0,0
African-American,29,16,0,1,1
Caucasian,34,1,0,0,0
Caucasian,43,0,0,0,1
Caucasian,47,2,0,1,1
African-American,25,3,0,0,0
African-American,23,1,0,1,1
Caucasian,39,2,0,0,1
African-American,35,13,0,1,0
African-American,43,20,1,1,1
African-American,25,3,0,1,0
African-American,48,25,1,1,0
African-American,22,1,0,0,0
African-American,52,9,1,0,0
Caucasian,26,5,0,1,0
African-American,67,4,0,0,0
African-American,34,4,0,0,1
Caucasian,56,4,0,0,1
African-American,28,1,0,1,0
African-American,29,2,0,0,1
African-American,24,0,0,0,0
African-American,37,6,0,1,0
Caucasian,51,0,0,1,1
African-American,20,1,0,0,0
Caucasian,26,4,0,0,0
Caucasian,39,1,0,0,0
African-American,21,1,0,1,1
African-American,21,1,0,1,0
Caucasian,24,3,0,1,0
African-American,26,4,0,0,0
Caucasian,48,1,0,1,1
African-American,24,5,0,1,0
Caucasian,26,0,0,1,1
Caucasian,46,0,0,1,1
African-American,24,7,0,0,1
Caucasian,21,0,0,0,1
African-American,24,1,0,1,0
African-American,30,1,0,1,1
African-American,36,9,0,0,1
African-American,30,5,0,1,0
Caucasian,22,1,0,1,1
African-American,25,0,0,1,0
African-American,31,25,0,0,0
African-American,24,0,0,1,1
African-American,39,13,0,1,0
African-American,48,5,0,0,0
African-American,30,4,0,1,1
Caucasian,40,0,0,1,1
African-American,52,0,0,1,1
African-American,23,3,1,1,1
African-American,26,1,0,0,1
Caucasian,22,1,0,1,0
Caucasian,42,3,0,1,1
African-American,23,6,0,1,0
African-American,28,1,0,1,1
Caucasian,37,4,0,0,1
Caucasian,50,1,0,1,1
African-American,32,1,0,1,1
African-American,51,3,0,1,1
Caucasian,19,1,0,0,0
African-American,32,4,0,1,1
Caucasian,31,1,0,1,0
African-American,29,1,0,1,1
African-American,26,9,0,1,0
Caucasian,27,0,0,1,0
Caucasian,52,1,0,1,0
African-American,28,3,0,0,0
African-American,32,3,0,1,0
African-American,27,5,0,0,0
Caucasian,42,0,0,0,1
African-American,33,0,0,1,0
Caucasian,26,4,0,0,1
Caucasian,28,3,0,0,1
Caucasian,53,0,0,0,1
Caucasian,24,0,0,1,1
African-American,39,6,0,0,0
African-American,22,1,0,1,0
African-American,46,2,0,1,0
African-American,25,0,0,0,1
Caucasian,52,1,0,1,1
African-American,28,4,0,0,0
Caucasian,57,1,0,1,0
African-American,49,3,0,1,0
African-American,21,2,0,1,0
African-American,32,19,0,1,0
African-American,63,3,0,0,1
Caucasian,29,2,0,1,1
African-American,46,0,0,0,1
African-American,23,5,0,1,0
African-American,28,10,0,0,0
African-American,27,1,0,1,1
Caucasian,33,1,0,0,1
Caucasian,47,4,0,1,0
African-American,32,14,0,1,0
African-American,24,2,0,1,1
African-American,26,5,0,1,0
Caucasian,25,1,0,1,1
African-American,21,1,0,1,1
African-American,25,2,0,0,0
African-American,22,6,1,1,0
Caucasian,26,0,0,1,1
Caucasian,20,0,0,1,1
African-American,30,1,0,0,0
African-American,45,0,0,1,0
African-American,33,7,0,1,0
Caucasian,35,2,0,1,1
Caucasian,41,5,0,1,1
Caucasian,23,0,0,0,1
Caucasian,21,0,0,0,0
African-American,54,0,0,1,1
African-American,27,10,0,1,0
Caucasian,22,0,0,0,1
African-American,23,2,0,1,0
African-American,36,5,0,0,0
African-American,29,10,0,1,0
African-American,54,4,0,0,0
Caucasian,22,2,0,0,0
Caucasian,38,2,0,1,1
African-American,26,0,0,0,0
African-American,20,0,0,1,1
African-American,52,6,0,0,0
African-American,29,0,0,1,1
African-American,23,6,0,0,1
African-American,35,1,0,0,1
Caucasian,32,8,0,1,0
African-American,21,1,0,0,0
African-American,32,5,0,0,0
African-American,30,4,0,0,0
African-American,30,3,0,1,1
African-American,23,2,0,1,0
Caucasian,32,8,1,1,1
Caucasian,52,1,0,1,1
African-American,29,6,0,1,0
Caucasian,42,0,0,0,1
African-American,21,0,0,1,0
Caucasian,36,4,0,1,0
African-American,22,0,0,0,1
African-American,29,0,0,0,1
African-American,54,2,0,0,1
African-American,30,6,0,1,0
African-American,51,17,0,0,1
African-American,27,3,0,1,0
Caucasian,24,2,0,1,1
African-American,23,2,0,0,1
African-American,36,5,0,1,1
African-American,38,8,0,0,0
African-American,39,1,0,1,1
African-American,29,2,0,1,1
African-American,28,1,0,1,1
Caucasian,44,6,0,1,1
African-American,25,2,0,1,1
African-American,31,0,0,1,1
African-American,35,17,0,0,0
African-American,27,11,0,0,0
African-American,33,1,0,1,1
African-American,28,6,0,1,0
African-American,20,1,1,1,0
Caucasian,60,1,0,1,1
African-American,27,5,2,1,0
African-American,54,0,0,1,1
African-American,26,3,0,0,1
Caucasian,24,3,1,0,1
African-American,75,5,0,1,1
African-American,36,16,0,1,0
African-American,56,8,0,1,1
African-American,25,5,0,0,0
Caucasian,46,0,0,1,1
African-American,27,1,0,1,1
African-American,24,1,0,0,1
African-American,28,3,0,0,0
African-American,42,13,1,0,0
African-American,59,2,0,0,1
Caucasian,39,1,0,1,1
Caucasian,46,5,0,0,1
Caucasian,55,2,0,1,1
African-American,35,1,0,0,0
African-American,43,0,0,0,0
Caucasian,53,0,0,0,1
African-American,21,0,0,0,1
African-American,55,17,0,1,0
African-American,27,1,0,1,0
African-American,40,0,0,1,1
Caucasian,37,0,0,0,1
Caucasian,32,2,0,0,0
African-American,32,2,0,0,1
African-American,36,4,0,0,0
African-American,31,0,0,1,1
African-American,26,4,0,1,0
Caucasian,50,30,0,0,0
African-American,47,4,0,1,1
African-American,36,2,0,1,1
Caucasian,38,0,0,1,1
Caucasian,53,0,0,1,1
African-American,53,2,0,1,1
African-American,57,19,0,1,1
African-American,22,5,0,1,0
African-American,21,0,0,1,0
African-American,26,0,0,1,0
African-American,24,1,0,1,1
African-American,27,2,0,1,1
Caucasian,49,4,0,1,1
Caucasian,47,1,0,1,0
African-American,30,8,0,1,0
Caucasian,44,3,0,1,1
African-American,34,1,0,1,1
African-American,45,10,0,1,0
Caucasian,50,2,0,0,1
Caucasian,29,1,0,0,1
Caucasian,26,0,0,1,1
African-American,22,1,0,1,0
Caucasian,49,0,0,1,1
African-American,49,1,0,1,0
Caucasian,59,2,0,1,1
Caucasian,32,6,0,0,1
African-American,24,1,0,0,0
African-American,32,0,0,1,1
African-American,27,9,0,1,0
Caucasian,25,2,0,0,1
African-American,34,1,0,0,1
Caucasian,62,2,0,1,0
Caucasian,20,0,0,0,0
African-American,37,18,2,0,1
Caucasian,30,5,0,1,0
African-American,23,1,0,1,0
African-American,20,0,0,1,1
Caucasian,29,7,0,0,0
African-American,24,1,0,1,1
Caucasian,54,1,0,0,1
African-American,66,3,0,1,1
Caucasian,50,8,0,1,1
African-American,50,7,0,1,1
Caucasian,40,3,0,1,1
African-American,30,4,0,0,0
Caucasian,24,2,0,1,1
African-American,23,3,0,1,0
African-American,24,4,0,0,0
Caucasian,54,3,0,0,0
Caucasian,25,4,0,0,1
Caucasian,46,1,0,0,1
Caucasian,22,0,0,0,1
Caucasian,32,1,0,1,1
African-American,25,0,0,0,0
African-American,22,3,0,1,0
African-American,33,16,0,1,0
Caucasian,49,0,0,0,0
African-American,30,10,0,1,1
African-American,33,4,0,0,0
African-American,24,0,0,1,1
African-American,33,12,0,0,0
Caucasian,37,0,0,0,1
Caucasian,40,0,0,0,1
Caucasian,27,1,0,1,1
